Datetime,Tweet Id,Text,Username
2023-03-30 21:56:50+00:00,1641560138245980160,"@it_kibe_ Definitely. I disagree with the idea of exporting protesters to Nairobi county, but walking back on the strategic decision of NO #Maandamano was undesirable. Let them continue #MaandamanoMondays and #MaandamanoThursdays because they are building Kisumu. #Raila Pipeline KDD 233P",Nellywamum
2023-03-30 21:55:44+00:00,1641559863179243521,I hear this was the JESHI YA BABA vehicle leading the #Azimio convoy that tried to overrun a security road block in today's #Maandamano https://t.co/LMT4wnSeut,KiguruKimani
2023-03-30 21:54:44+00:00,1641559609272827908,"Ala 😂😂
#MaandamanoThursdays https://t.co/W9fjM5icBu",Abundance_Raph
2023-03-30 21:51:49+00:00,1641558875651424258,"Kenya Kwanza Govt ain't sh*t,Kenya Police are the dumbest and most useless.Grow Up
Who TF even voted for this guys 🤬
#KDD233P 
#MaandamanoThursdays 
#RutoMustGo
#RailaOdinga",odom254
2023-03-30 21:42:41+00:00,1641556579769110529,We kalale  .....Si tuko poa Wakenya we've got each other 😭😭😭#maandamanomondays https://t.co/kUfKTdgOPk,HanzWere
2023-03-30 21:42:19+00:00,1641556486458429443,"#MaandamanoThursdays 
@rigathi @NdindiNyoro @KIMANIICHUNGWAH @AnyangNyongo @edithmwirigi @Jeff_KuriaM @KoinangeJeff 
@MikeSonko 
Huyu ataenda wapi. Watu wa Azimio wako na shinda gani na Mimi. https://t.co/MVld5KcUG6",SirDavi57521862
2023-03-30 21:39:00+00:00,1641555649992458252,"#MaandamanoThursdays 
@rigathi @NdindiNyoro @KIMANIICHUNGWAH @AnyangNyongo @edithmwirigi @Jeff_KuriaM @KoinangeJeff 
Mpaka viatu zimeenda😭😭😭😭 https://t.co/Djqxm68GJm",SirDavi57521862
2023-03-30 21:38:15+00:00,1641555462419099649,"#MaandamanoThursdays 
@rigathi @NdindiNyoro @KIMANIICHUNGWAH @AnyangNyongo @edithmwirigi @Jeff_KuriaM @KoinangeJeff 
😭😭😭😭😭 https://t.co/tRfh7JkVkx",SirDavi57521862
2023-03-30 21:37:28+00:00,1641555263286067201,"#MaandamanoThursdays 
@rigathi @NdindiNyoro @KIMANIICHUNGWAH @AnyangNyongo @edithmwirigi @Jeff_KuriaM @KoinangeJeff 
😭😭😭😭😭 https://t.co/GfGHT4mSKz",SirDavi57521862
2023-03-30 21:36:05+00:00,1641554915532079108,"Late night gains🙏❤️turn on my notification 😋

#ThikaRoad #MaandamanoThursdays https://t.co/V2lE2dImaN",Nitch_001
2023-03-30 21:32:32+00:00,1641554022900568064,"KENYA | Having survived a potential assassination,  an attack which was fortunately only made on Azimio’s Media Equipment Vehicle,… #MaandamanoMondays #Kenya #AP @AP @BBCPolitics @BBCNews @CNN @WashTimes @nytimes",Osunga
2023-03-30 21:30:32+00:00,1641553518975766531,"#MaandamanoThursdays 
@RadioCitizenFM @AnyangNyongo
@MikeSonko @EliudOwalo Robery, you won't see this in main stream media.
Maandamano must end. https://t.co/HZKyTJ3J64",SirDavi57521862
2023-03-30 21:27:02+00:00,1641552639618842628,"#MaandamanoThursdays
#GoldMafia
#UkraineWar
#Raila  Basic rules of life! https://t.co/BqzPae0RVx",developa_ke
2023-03-30 21:27:02+00:00,1641552637840576520,"It's the repetition of affirmations that leads to belief. And once that belief becomes a deep conviction, things begin to happen. #kenyandictionary #dailyquotes #quotes #kenyanquotes #MaandamanoThursdays https://t.co/8oKeYj3VmX",Ke_Dictionary
